latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-19.40582,143.38702,338.8,0.48,0.4,2020-01-06,0418,1,nominal,1.0NRT,294.7,8.5,D
-18.96017,143.85925,339.1,0.52,0.41,2020-01-06,0418,1,low,1.0NRT,309.3,14.8,D
-18.96101,143.85446,340.2,0.52,0.41,2020-01-06,0418,1,low,1.0NRT,310.9,8.1,D
-18.95554,143.86334,337.1,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,306.1,14.8,D
-18.95638,143.85855,349.3,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,316.1,14.8,D
-18.95722,143.85374,350.5,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,313.5,8.1,D
-18.95807,143.84891,341.3,0.52,0.41,2020-01-06,0418,1,low,1.0NRT,312.7,8.1,D
-18.95175,143.86256,339.1,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,291.3,23.2,D
-18.9526,143.85779,350.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,310.6,23.2,D
-18.95344,143.85298,343.8,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,312.8,21.4,D
-18.94798,143.86174,337.9,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,298,23.2,D
-18.9442,143.86096,338.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,302.2,37.2,D
-18.94588,143.85141,354.7,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,316.4,22.4,D
-18.94672,143.84666,350.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,317,22.4,D
-18.94125,143.85548,343.2,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,308.9,37.2,D
-18.94209,143.85069,353.5,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,311.5,22.4,D
-18.94293,143.84593,354.5,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,319.3,22.4,D
-18.94379,143.84106,341.6,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,308.8,18.8,D
-18.92002,143.88672,340.1,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,296.7,4.1,D
-18.91623,143.88594,338.9,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,301.3,2.5,D
